time,MA_battery_discharge_edge,MA_battery_charge_edge,CT_battery_discharge_edge,CT_battery_charge_edge,ME_battery_discharge_edge,ME_battery_charge_edge,MA_natural_gas_combined_cycle_elec_edge,MA_natural_gas_combined_cycle_fuel_edge,MA_natural_gas_combined_cycle_co2_edge,CT_natural_gas_combined_cycle_elec_edge,CT_natural_gas_combined_cycle_fuel_edge,CT_natural_gas_combined_cycle_co2_edge,ME_natural_gas_combined_cycle_elec_edge,ME_natural_gas_combined_cycle_fuel_edge,ME_natural_gas_combined_cycle_co2_edge,MA_to_CT_transmission_edge,MA_to_ME_transmission_edge,MA_solar_pv_edge,CT_onshore_wind_edge,CT_solar_pv_edge,ME_onshore_wind_edge
6384,0.0010935803595671688,-1508.0774817638937,0.0008516173233800604,-839.9959379899235,0.18762326862445097,-160.51722048857877,265.68182414991105,-578.528210898651,104.74151157356617,2251.0092017869783,-4697.107060756059,850.4029437082155,0.04276887714830591,-0.15900589002352036,0.028787735768829013,-5336.212458211087,-3052.8234545102664,0.0,5930.365742596158,0.0,4171.965691474165
6385,1022.81498993177,-0.009314994773451152,747.2620022504385,-0.007585490235776088,205.30444184494905,-0.0033840843210168167,1685.2068225637572,-3669.56941699821,664.3690667452267,5568.14138164201,-11618.85462272657,2103.573124027124,19.345074832992573,-71.55083875764991,12.954153081301763,-4464.904106124181,635.9687832543414,0.0,0.5094470847210885,0.0,34.88656598116323
6386,0.0009607606027349141,-1508.0780133302399,0.0006644313628779844,-839.9950851445944,0.0004355319835050359,-205.38426262408214,1218.4763619804737,-2653.2553978033543,480.3672072014682,1924.4036205657337,-4015.5904173718186,727.0155581912221,9.19053656810436,-33.99350556381453,6.154464189235735,-4780.71654469651,-1779.4790857283674,0.0,5460.536215662729,0.0,2820.2991125166013
6387,0.009206923362576993,-549.3398684056579,0.008149298598344462,-42.57029111258226,0.00456135980912458,-158.52050432088015,1218.4856875186974,-2653.2778226884066,480.3712671873306,1924.4346747556797,-4015.6843380825853,727.0325623701514,9.204187504902613,-34.05002639223042,6.164697185470222,-3361.812613151702,-2078.251953400244,0.0,3200.9413806059874,0.0,3049.566477266502
6388,0.022436939253048856,-0.016015860880119144,0.017734691528661063,-0.013374177716223876,0.00882686332203922,-0.00818365932462385,1218.4997343690331,-2653.3096445418205,480.3770284777307,2768.5051265026736,-6016.296395542951,1089.2398446134891,9.235745707120401,-34.17329736178337,6.187015176954265,-3693.2590831698585,-1166.6155529440587,0.0,2640.7507515780862,0.0,1976.3817076562589
6389,0.02019968419585015,-0.01839705196432094,0.01808128681310106,-0.013105162435098199,0.008319706098283794,-0.009218265114110339,1218.5051305960562,-2653.3220385165678,480.3792723849853,4005.643339772066,-8600.898458719565,1557.177486742926,9.251840057080337,-34.239859000904126,6.199066044246445,-4011.2553048217287,-1033.9237946352982,0.0,1774.6080760185994,0.0,1868.6753994738074
6390,0.01700460233708355,-0.021682069337662615,0.014612144528133995,-0.016005113177449255,0.007294997996699767,-0.011599310975363764,1218.5085561658148,-2653.330424538387,480.3807906594357,5270.214330021077,-11233.607623727552,2033.8248347576032,9.28550748842603,-34.38405335595784,6.225172177748978,-5355.045903328568,-369.61659658287306,0.0,2046.8341018824592,0.0,1296.3379613558525
6391,0.03687801583190164,-0.01276779354173783,0.014855084974112927,-0.017613132615757063,0.011972851525962055,-0.006972559605964552,2256.912357943491,-4914.474868814652,889.7570017378565,6922.658525678077,-14675.885099808906,2657.0430967337056,19.50478485226051,-72.3629677610965,13.101187604098149,-5899.898004303214,-10.986940990642518,0.0,1289.2424321267501,0.0,1095.4792791671484
6392,0.029716031115225104,-0.014189735360323499,0.013487340196711474,-0.020630548201446535,0.02379170515510126,-0.005536859143540249,2299.5290896283955,-5007.273694405943,906.5580653360954,7440.316854793342,-15650.80406811371,2833.5504553694554,20.30483038509687,-75.35195691991976,13.642338816215952,-5899.894360921012,504.96272905633475,1225.1292988642551,844.4254417683051,142.15941119692863,690.6407862879076
6393,0.025886267772043177,-0.013982515386951073,0.02539160368773807,-0.010368527133177784,0.0163485546911654,-0.006005517925177979,1944.8736606285925,-4235.0051956759735,766.7402165712473,7580.1890976135865,-15848.98725578894,2869.431171736471,20.38381842564402,-75.4378884272591,13.657896563964393,-5734.924450557139,1048.0975408898887,2624.8639304413873,476.72246012580985,301.9989897669477,204.10963292488572
