time,MA_battery_storage,CT_battery_storage,ME_battery_storage
4313,4484.036397159526,912.8806726586754,669.6273275374045
4314,3776.856794457737,912.9966546745314,545.1298070696922
4315,2505.670556375093,913.1174233760669,404.61602722995855
4316,1791.5458762378646,0.11028733425898564,310.2891346031602
4317,860.8792887488731,0.1206514521614619,167.12204531613978
4318,0.0763937753944396,0.11863690721336939,0.03567287174009297
4319,0.08628081339523613,272.1983254933694,0.03182466604644803
4320,0.08176340100934039,272.17142458581486,0.006465299640050656
4321,0.05808551378416467,0.09523905326167528,155.79538986972855
4322,0.010508355126542551,0.007232412805501506,344.6991958395753
4323,339.4618643395776,36.97188499488438,356.19557513312935
4324,1699.3843003751851,688.0231528621877,416.2905766962691
4325,3061.2268081599022,1343.3463926112656,467.1006891464491
4326,4448.632325539874,2116.118456261257,656.0313865707722
4327,4484.177320181214,2171.972666277679,669.7492236092811
4328,4332.447997935764,2067.010579510434,646.2202427313213
4329,3986.7133722893964,1919.9400521703749,514.2375746251976
4330,3986.708831189686,1919.982077765649,514.2212014792558
4331,3986.775295825961,1920.0237723351163,514.2505244297074
4332,3986.771438131388,1920.0738572266341,514.2475005133039
4333,3986.821111083602,1920.1174021926765,514.2677803531456
4334,4483.95222577775,2032.0665777514084,669.5806912386591
4335,4484.031094913083,2032.105608675971,669.6338292635157
4336,4484.035079097035,2032.101160484512,669.6394487906853
4337,4484.053312501949,2032.1460058395317,669.646528213668
4338,3824.0346205580463,2032.176027707552,564.9505322034913
4339,2184.8232907977554,1119.141215242829,341.7099061790911
4340,664.4800374006937,206.15197973260356,200.7734514965466
4341,664.458865129051,0.044528184973963755,200.7696615470077
4342,664.4948331460093,7.448982763558151,200.78572655173213
4343,100.24661366701679,5.599168551622449,90.62336265719269
4344,0.04283890462739792,0.006790876676756263,0.025001836931505428
4345,0.017551647430270788,113.8998713252845,0.01268835675668163
4346,89.05076786635682,502.08484235186467,65.56267471626701
4347,616.2408399938172,1146.1915545893658,170.89148164748292
4348,1964.1948560414837,1791.9263429772025,333.22274907670004
4349,3351.624870937293,2171.970535518918,522.174721144783
4350,4484.175489400146,2171.968770334443,669.7465774506591
4351,4484.072436637495,1905.170652717512,669.6958839616656
4352,4484.039134265398,1818.2610301586594,669.6445066843032
4353,4484.0198836838035,1745.8343138129992,669.6272686354214
4354,4484.007241119649,1719.3510166541798,669.6190427838604
4355,4484.003148501625,1678.0907267542823,669.6148080637477
4356,4484.0016710930195,1629.8252957935936,669.6136580651701
4357,4484.007358860039,1601.3893896651,669.6149881719698
4358,4484.015918524018,1601.379764058747,669.619373032924
4359,4324.893367349521,1556.27646982985,447.79464448669256
4360,3068.0175783770865,643.2628000978451,225.91475543463872
4361,2474.847444359152,0.4989790159076115,225.89759378219512
4362,2190.6822838318644,0.4884985911147978,225.88134155109248
4363,1330.276637306128,0.47422217315300175,225.86346941642492
4364,268.66549808433007,0.45492229037050774,225.84311575561676
4365,9.317787574813307,0.42831273366939077,225.82398345907902
4366,9.34448296000036,0.3881835154643599,225.90959924991478
4367,9.368266408998199,0.3182910250561764,226.0013486318567
4368,9.385684609254316,443.77259928690665,226.09349475211138
4369,1397.6718972281778,1201.6451299539635,484.6713717956247
4370,2426.2770538153154,1974.439926557918,492.39212493244673
4371,3794.2809999696055,2171.963059141495,641.8122948007567
4372,4483.979116835888,2171.931877432427,669.5846179779901
4373,4483.984123733737,2171.843681267352,669.5885468041296
4374,4483.999536405699,2171.8133659196565,669.5967774956054
4375,4483.9841200233295,2171.7920037097188,669.5916020891234
4376,4483.9734934357475,2171.7774543701607,669.576446340624
4377,4483.970253419679,2171.770380969218,669.566970521648
4378,4483.9691372528,2171.769595112583,669.5614556793156
4379,4483.975562106465,2171.7697818564156,669.5588076133737
4380,4483.984960436759,2171.776844908256,669.5664542317095
4381,4483.998398299414,2171.7559518577923,669.567827383539
4382,4484.022414444311,2171.7735613871077,669.5710956719762
4383,4484.058256015872,2171.79559666397,669.6002516414866
4384,4484.158493865007,2171.8419277292055,669.7302374772548
4385,4410.454786950286,2171.9620901256676,607.2255640640484
4386,3146.0801669124016,1778.023153128417,434.7031968640079
4387,1606.0439338443684,886.105910794491,265.8116340517625
4388,415.72587910316844,0.1055349631342119,131.3746682181861
4389,0.0400672075207157,0.029429970366598893,0.03176149627343771
4390,0.06550095832293551,0.04063672631761226,0.0400870044743038
4391,0.06017697622801596,0.014172279854453122,0.036743489236490776
4392,0.02561223560589839,0.012777811585565763,0.01431212345372206
4393,602.2001347126818,716.3167307208432,125.19074813649729
4394,1700.299687855666,1442.8895378846926,231.99670411940113
4395,3087.7305919620753,2171.97098209266,420.94922921876605
4396,3395.085692118391,2171.9192309071727,481.1775006740623
4397,4143.316300841359,2171.917860169098,571.7848666171228
4398,4484.172896631576,2171.966080244183,669.7446145058726
4399,4484.07816706369,2171.872555130109,669.6982110464319
4400,4484.050279426026,2171.847271180698,669.6570542319593
4401,4484.034904258876,2171.8354675702903,669.643444874461
4402,4484.028779672096,2171.8321199750153,669.6371640204477
4403,4484.0246468538335,2171.8319337908692,669.6345606546262
4404,4484.027652686984,2171.8342908757195,669.6350704510204
4405,4484.033438955928,2171.845547545483,669.6382932607171
4406,4484.049736676615,2171.8656743917713,669.6454995223245
4407,4484.079515815502,2171.9295491252965,669.6617548881978
4408,4484.153898508216,2171.9523011256174,669.726046117506
4409,4171.648442641859,1918.864320476037,494.12268598632096
4410,2586.4047503645706,1187.388132013142,292.06206409555296
4411,947.1971696272807,418.97147065358246,68.82533954330903
4412,0.05190830945685068,0.03233189059481757,0.032422250818756077
4413,0.07610464800323208,0.07860964801506681,0.054905779797460925
4414,0.08274228177540742,0.08697011777338859,0.056264835355223294
4415,0.07013549280473752,0.08110586014270968,0.05217587305234187
4416,0.012659924940874829,0.012144201398691549,0.008695259737914279
4417,532.9441144804682,772.8050908779305,154.72317270586646
4418,1920.373130757886,1545.5973152574968,343.6741973094101
4419,3172.500303820605,1740.898794891235,503.9383907967668
4420,4484.175079008965,2171.970242825523,669.7471461415681
4421,4484.122488080285,2171.9010159223203,669.7025558640936
4422,4484.109717208303,2171.8811451178076,669.6933641723195
4423,4484.039329090555,2171.6860845255997,669.6572003864428
4424,4484.003936732962,2171.6006406533543,669.6440711552765
4425,4483.976060826674,2171.5463120416716,669.6078160874503
4426,4483.954407824952,2171.4990069079545,669.5893120226527
4427,4483.942660165645,2171.457703103512,669.5794269641517
4428,4483.933677654503,2171.425222498008,669.5731971571669
4429,4483.93125142567,2171.401018730533,669.5696343987764
4430,4483.928849137878,2171.4076997062957,669.5680689300084
4431,4483.930729884061,2171.4140154902357,669.5680589738658
4432,4483.934674000871,2171.39728003296,669.5701101425324
4433,4483.922052847866,1337.9449982261287,669.5646087175368
4434,3681.1814986443806,1337.961427911922,486.7735054734152
4435,2348.710984535067,1337.9676283316858,301.43670072594205
4436,1270.6218110074217,913.1476474710959,162.9446721444406
4437,304.7135148223336,0.15302715765581057,0.23761270663037437
4438,0.5271655374023709,0.15596440310941145,0.2202001222098345
4439,0.5404149482608435,0.14834276526465182,0.23085543867810066
4440,0.548713294129336,0.1268124473314969,0.23726848642582224
4441,12.694702143185596,0.013180164838101579,6.251420543481549
4442,313.47037319222756,0.01228505686744104,122.14285912812421
4443,945.0012116947605,347.61451540199977,206.72662133782396
4444,1683.1728189116436,951.801270125094,278.34373624146224
4445,3028.61091328458,1538.6300837107185,431.1460280146719
4446,4416.043969965047,2171.971924692205,620.1003483940093
4447,4419.279908449779,2171.751790748283,621.4729910687305
4448,4422.68566908704,2171.6730201620803,623.0002093821306
4449,4422.69293430255,2171.6274290414717,623.0029141274067
4450,4426.626634859952,2171.5930753129132,624.909729704195
4451,4431.953239944777,2171.561631055349,627.2550671475628
4452,4431.957996615121,2171.5374754440286,627.2576181863451
4453,4431.961120284534,2171.516119144491,627.2597930440184
4454,4431.968069487513,2171.4997127536176,627.2625668431679
4455,4431.972596627494,2171.4858916844864,627.2643633422507
4456,4431.980684588123,2171.4772016929287,627.2662786315341
4457,4431.987485560698,2171.4691090304595,627.2681147029148
4458,4431.9947702804075,2171.464266824586,627.2706481785588
4459,3718.047814728997,2171.460508018984,404.10385595145783
4460,3330.571047550754,2171.451148614401,180.93764056028724
4461,3330.5398900978403,2171.4545683762913,180.93047382637013
4462,3330.5512716198286,2171.4583333951714,180.9335816022689
4463,3330.56595876806,2171.46568217291,180.93742654550485
4464,3414.676588646629,2171.4651026774345,273.41831338945224
4465,3534.6708301900308,2171.466064829473,371.13327662032157
4466,3655.239529377243,2171.4676521263473,454.678224275078
4467,3803.19016418981,2171.4700805984057,548.3685120985962
4468,3973.0980261425793,2171.476139403229,669.4540140441417
4469,4116.6582226643795,2171.4819294472873,669.4685970073605
4470,4483.745645877678,2171.4924857424876,669.4899933563322
4471,4483.750263120022,2171.502315467556,669.4896367884953
4472,4483.760600644562,2171.518252642368,669.4909641495501
4473,4483.771490180572,2171.504231438167,669.4936705043191
4474,4483.7874675359535,2171.5272071597396,669.4976530717598
4475,4483.80456841002,2171.50983640016,669.503660386512
4476,4483.831462001098,2171.502696077844,669.5122644664599
4477,4483.863038564924,2171.502278857287,669.5248544122653
4478,4483.9185276066955,2171.504418786574,669.5445733543476
4479,4483.999703576074,2171.628390250051,669.5762265510513
4480,4484.165287742297,2171.964050197211,669.7302567091484
4481,3894.8094495634227,1745.3635592591515,446.5794323871701
