start,end,pipeline_type,straight_line_km,path_length_km,onshore_km,offshore_km,mean_surface_cost,investment_cost,operational_cost
Shandong,Bohai Bay Basin (offshore),mixed,348.74,348.74,0.0,348.74,7.972291946411133,0.0005446076712328767,1.63382301369863e-05
Shandong,Bohai Bay Basin (onshore),onshore,167.21,173.89,173.89,0.0,2.3959412574768066,0.00040122061419128386,5.0237535616438345e-06
Shandong,Hehuai Basin,onshore,351.97,399.83,399.83,0.0,1.9581613540649414,0.0007539739080816947,1.1551253013698629e-05
Shandong,Henan,onshore,380.01,494.47,494.47,0.0,2.0422704219818115,0.0009724911551463212,1.4285441506849314e-05
Shandong,North Yellow Sea Basin,mixed,577.04,577.04,0.0,577.04,7.972291946411133,0.0009011309589041095,2.7033928767123282e-05
Shandong,South Yellow Sea Basin,mixed,545.04,545.04,0.0,545.04,7.972291946411133,0.0008511583561643834,2.5534750684931503e-05
Shandong,Subei Basin,onshore,473.53,557.11,557.11,0.0,1.6938296556472778,0.0009087473369023717,1.6095136849315067e-05
Shanghai,East China Sea Basin,mixed,389.7,389.7,0.0,389.7,10.518340110778809,0.000608572602739726,1.825717808219178e-05
Shanghai,Jiangsu,onshore,269.66,393.7,393.7,0.0,2.2922723293304443,0.0008690886768333552,1.1374154794520546e-05
Shanghai,South Yellow Sea Basin,mixed,512.21,512.21,0.0,512.21,10.518340110778809,0.0007998895890410959,2.3996687671232876e-05
Shanghai,Subei Basin,onshore,253.37,283.99,283.99,0.0,2.333672046661377,0.0006382272407473277,8.204587808219177e-06
Shanghai,Zhejiang,onshore,164.87,205.0,205.0,0.0,3.0262012481689453,0.0005974260176436541,5.922534246575342e-06
Shanxi,Inner Mongolia,onshore,334.53,353.7,353.7,0.0,1.5565396547317505,0.0005301853388255752,1.0218538356164382e-05
Shanxi,Ordos Basin,onshore,338.8,437.7,437.7,0.0,1.2078198194503784,0.0005091094557346873,1.2645332876712328e-05
Shanxi,Qinshui Basin,onshore,128.85,132.57,132.57,0.0,2.4547243118286133,0.0003133866161910148,3.8300017808219174e-06
Sichuan,Gansu,onshore,610.71,726.98,726.98,0.0,2.0778141021728516,0.0014546604042278445,2.1002750958904107e-05
Sichuan,Guizhou,onshore,511.56,557.18,557.18,0.0,1.751388430595398,0.0009397459449981892,1.609715917808219e-05
Sichuan,Qinghai,onshore,705.35,782.63,782.63,0.0,1.9603404998779297,0.001477476114588881,2.261050232876712e-05
Sichuan,Sichuan Basin,onshore,184.4,221.06,221.06,0.0,1.6277894973754883,0.0003465300271804757,6.386514246575342e-06
Sichuan,Tibet,onshore,1243.82,1839.26,1839.26,0.0,1.3109371662139893,0.002321974613025358,5.3136977260273967e-05
Sichuan,Yunnan,onshore,628.87,714.59,714.59,0.0,1.7177696228027344,0.0011821002730346575,2.0644798767123287e-05
Songliao Basin,Erlian Basin,onshore,717.64,920.87,920.87,0.0,1.0006065368652344,0.0008873483078725632,2.6604312739726024e-05
Songliao Basin,Hailar Basin,onshore,570.1,813.18,813.18,0.0,1.1186555624008179,0.0008760230632244755,2.349310438356164e-05
Tianjin,Bohai Bay Basin (offshore),mixed,208.42,208.42,0.0,208.42,1.981008768081665,0.00032547780821917807,9.76433424657534e-06
Tianjin,Bohai Bay Basin (onshore),onshore,135.5,143.45,143.45,0.0,2.7179007530212402,0.0003754625379502609,4.144329452054794e-06
Tianjin,Erlian Basin,onshore,564.26,596.0,596.0,0.0,1.4868665933609009,0.0008533962468754754,1.7218684931506846e-05
Tibet,Qaidam Basin,onshore,908.21,968.95,968.95,0.0,1.0919065475463867,0.0010188712370127193,2.7993363698630136e-05
Tibet,Qinghai,onshore,1254.0,1516.05,1516.05,0.0,1.0316237211227417,0.001506146820702626,4.379930753424657e-05
Tibet,Tarim Basin,onshore,1354.14,1513.88,1513.88,0.0,0.9809865951538086,0.0014301677789452436,4.373661534246575e-05
Turpan-Hami Basin,Junggar Basin,onshore,452.5,497.32,497.32,0.0,0.8895948529243469,0.000426050080159184,1.436777917808219e-05
Turpan-Hami Basin,Qaidam Basin,onshore,620.63,631.97,631.97,0.0,0.9093617796897888,0.0005534337299029051,1.825787301369863e-05
Turpan-Hami Basin,Yingen-Ejina Basin,onshore,807.95,849.78,849.78,0.0,0.8771815299987793,0.0007178413128155354,2.455049342465753e-05
Xinjiang,Junggar Basin,onshore,138.28,165.16,165.16,0.0,1.1097313165664673,0.00017650425567618459,4.771540273972602e-06
Xinjiang,Qaidam Basin,onshore,889.24,992.89,992.89,0.0,0.9015793204307556,0.0008620600976686746,2.86850001369863e-05
Xinjiang,Tarim Basin,onshore,660.2,885.22,885.22,0.0,0.9885645508766174,0.0008427305062247678,2.5574369589041093e-05
Xinjiang,Turpan-Hami Basin,onshore,359.86,413.69,413.69,0.0,0.9422309994697571,0.0003753745947204967,1.195167410958904e-05
Yunnan,Beibu Gulf Basin,mixed,841.48,841.48,0.0,841.48,8.836931228637695,0.0013140920547945205,3.942276164383561e-05
Yunnan,Tibet,onshore,1248.49,2078.22,2078.22,0.0,1.4507684707641602,0.002903501759002711,6.004062986301369e-05
Zhejiang,Anhui,onshore,325.52,421.49,421.49,0.0,1.9607166051864624,0.0007958561324243692,1.2177019315068491e-05
Zhejiang,East China Sea Basin,mixed,464.18,464.18,0.0,464.18,10.518340110778809,0.0007248838356164383,2.1746515068493148e-05
Zhejiang,Fujian,onshore,474.49,505.75,505.75,0.0,2.458427906036377,0.0011973629988698109,1.4611325342465751e-05
Zhejiang,Jiangxi,onshore,452.03,534.14,534.14,0.0,1.9992799758911133,0.0010283979049927436,1.543152410958904e-05
