time,elec_MA_seg1,elec_MA_seg2,elec_MA_seg3,elec_MA_seg4,elec_CT_seg1,elec_CT_seg2,elec_CT_seg3,elec_CT_seg4,elec_ME_seg1,elec_ME_seg2,elec_ME_seg3,elec_ME_seg4
4982,8.983037157254126e-7,1.8918997164326658e-6,7.302729690217106e-6,2.4456308054995034e-5,1.1017748670509484e-6,3.227449752786742e-6,5.485691007577323e-6,2.245709669090823e-5,1.3298607439788785e-6,3.063481948409514e-6,9.312765159487775e-6,1.7700914882416776e-5
4983,8.824213870900963e-7,1.8478434931547e-6,7.020399127526826e-6,2.4237688509949227e-5,1.0855246120378483e-6,3.166023246097329e-6,5.638143615922645e-6,2.2118562364751636e-5,1.3186001723865536e-6,3.0636638845333125e-6,9.227297525170589e-6,1.7598983759310755e-5
4984,8.90904684159884e-7,1.8669180679587065e-6,7.0078426856373455e-6,2.426955218935584e-5,1.093951242188563e-6,3.18262294183801e-6,5.633953391523213e-6,2.2237726471539864e-5,1.3262440142591498e-6,3.0731900408482607e-6,9.238129266708852e-6,1.7647128799786184e-5
4985,8.699895108406393e-7,1.8182136052686936e-6,6.719775042215498e-6,2.402289715974836e-5,1.0735417076938758e-6,3.117930001929746e-6,5.751563719446202e-6,2.173426236126097e-5,1.3388453586595297e-6,3.068734965784735e-6,9.384792712145092e-6,1.783475504167041e-5
4986,8.627869392236402e-7,1.8014107986546432e-6,6.528229070999069e-6,2.388027581785324e-5,1.0722529932600943e-6,3.078345097179396e-6,5.960520161280959e-6,2.1398834771523787e-5,1.3319283929142147e-6,3.0542176117978347e-6,9.43227861434849e-6,1.7837867477032866e-5
4987,8.350981444271903e-7,1.7664710711345452e-6,6.389937685191629e-6,2.371715499827077e-5,1.0753283651618671e-6,3.0647123807654345e-6,6.201656076997306e-6,2.1097331390786562e-5,1.3553562589353576e-6,3.0064292639589714e-6,9.777731383730817e-6,1.8003251170203187e-5
4988,8.36888564504144e-7,1.80519679312861e-6,6.445065025017355e-6,2.3781424026015304e-5,1.0674086828205783e-6,3.0788068953836057e-6,6.270508560829262e-6,2.0771098490042614e-5,1.3612530602519825e-6,2.9620806107792324e-6,9.91705178015857e-6,1.7891128085505088e-5
4989,8.307272097858446e-7,1.8042447183130018e-6,6.4282082488746725e-6,2.3739804211984703e-5,1.0789892005442434e-6,3.088297959106194e-6,6.36171830641908e-6,2.078670411361552e-5,1.377682846064706e-6,2.9287727723395913e-6,1.0101467268591977e-5,1.7973560603580575e-5
4990,8.53592627771845e-7,1.878084114108354e-6,6.423551418676064e-6,2.3767215501914085e-5,1.0851085152712774e-6,3.1082743703848134e-6,6.4833383163044955e-6,2.0634112194440993e-5,1.3859804684982254e-6,2.906550856237069e-6,1.0141381417071116e-5,1.7799813432237163e-5
4991,8.927652831883788e-7,2.021714190618516e-6,6.40272707439583e-6,2.3846575892253785e-5,1.1215297958037031e-6,3.149645177687063e-6,6.901075731061956e-6,2.0346545922508986e-5,1.4331056626631987e-6,2.875412444344686e-6,1.0483739612802777e-5,1.7391947216897925e-5
4992,9.223131873205222e-7,2.1431342475718503e-6,6.282773813312394e-6,2.3721587708559816e-5,1.1454474568028482e-6,3.1420225476755476e-6,7.423155921530069e-6,1.9787941314053125e-5,1.4627057143696814e-6,2.9349815061952605e-6,1.0368598251987176e-5,1.673145749705325e-5
4993,9.660797216302075e-7,2.2848395242829293e-6,6.254921190884281e-6,2.3912743057900153e-5,1.1868810198910487e-6,3.165493402161393e-6,7.903041386421165e-6,1.9756934132113135e-5,1.5096331643243803e-6,3.033845253422101e-6,1.0558124018294835e-5,1.6304437043819387e-5
4994,9.841949404189703e-7,2.3560464084077106e-6,6.162237875563175e-6,2.3822906881164657e-5,1.2030777920884545e-6,3.1426822832499804e-6,8.289093588536289e-6,1.941198954127997e-5,1.5462029720575486e-6,3.2449076065361807e-6,1.0598882221203383e-5,1.6041689088156813e-5
4995,1.0126295508235361e-6,2.4364314079123966e-6,6.16471051266866e-6,2.4019793802104823e-5,1.231688476300902e-6,3.146714553868591e-6,8.58288421553472e-6,1.94135060817907e-5,1.5529659618723487e-6,3.4760171042338616e-6,1.0354767212294604e-5,1.5718875976997086e-5
4996,1.0124343521822973e-6,2.4531783233249154e-6,6.1021417651075065e-6,2.3937484860900867e-5,1.2463757275580155e-6,3.1434872761468036e-6,8.703831418398012e-6,1.9259691423898116e-5,1.5761416869162822e-6,3.572450555033326e-6,1.0382392368257707e-5,1.5716957388526516e-5
4997,1.0234728110131768e-6,2.464642155872657e-6,6.1228031622663185e-6,2.4041560964348905e-5,1.242770388538542e-6,3.1306562061084025e-6,8.711844148382234e-6,1.9121193109879015e-5,1.5531376009646827e-6,3.6714661700931963e-6,1.010739317207699e-5,1.5589638728642774e-5
4998,1.0117163369786453e-6,2.437408605540142e-6,6.098197067604141e-6,2.388789961362986e-5,1.2467451994075916e-6,3.142568418233163e-6,8.649375203176823e-6,1.915068949691124e-5,1.54831307982444e-6,3.6543106155225206e-6,1.0083045246514443e-5,1.5615945657654128e-5
4999,1.0178935015084358e-6,2.3816024988340265e-6,6.179738647462536e-6,2.3971181966241715e-5,1.2272809302866588e-6,3.1425652762766147e-6,8.437601928584385e-6,1.9187476616473062e-5,1.5128081942977097e-6,3.6040697005490956e-6,9.850048216927969e-6,1.5649250990913436e-5
5000,1.0173790416208524e-6,2.338176806475772e-6,6.360665474828608e-6,2.4300764417877082e-5,1.218448565161839e-6,3.1909365015575696e-6,8.024079299167574e-6,1.988222294954996e-5,1.4881289224689525e-6,3.379218246921556e-6,9.821502611084764e-6,1.600841409898204e-5
5001,9.80443519558107e-7,2.2519767408821832e-6,6.525295914037232e-6,2.443519076929965e-5,1.188578460284734e-6,3.2208795053158912e-6,7.314335741337157e-6,2.0379276983908245e-5,1.443170659516063e-6,3.185461724217084e-6,9.4907774794228e-6,1.6344387278457938e-5
5002,9.705247873392177e-7,2.20659091057323e-6,6.840647201317479e-6,2.4726443871711776e-5,1.1788933469252269e-6,3.2639746523502066e-6,6.732438124695402e-6,2.0978767180141468e-5,1.4297506477358566e-6,3.0825801346174587e-6,9.410880444861802e-6,1.6826419883943605e-5
5003,9.389225185366343e-7,2.1270488127164757e-6,6.978802440145355e-6,2.4677843778443052e-5,1.1536113270085683e-6,3.2493682059023628e-6,6.405473259679016e-6,2.1227248331583804e-5,1.4155384566512525e-6,3.099684407152719e-6,9.344860944247752e-6,1.705870916460566e-5
5004,9.392730591588418e-7,2.103192573303972e-6,7.094318432584545e-6,2.4733029916819536e-5,1.156126777185645e-6,3.2788696304162314e-6,6.109550733378097e-6,2.1643674640564465e-5,1.395275766483643e-6,3.0966217145686203e-6,9.26747828926395e-6,1.707367442078858e-5
5005,9.213221151462666e-7,2.059035438171577e-6,7.003388912492623e-6,2.4580678021986746e-5,1.1520606506678759e-6,3.2532057581025168e-6,6.1750934563739815e-6,2.1580276150259655e-5,1.407680457263089e-6,3.0702867448162474e-6,9.537825894722222e-6,1.7370815265333285e-5
5006,9.278289740700666e-7,2.0557926170526788e-6,6.9222575610952974e-6,2.4538215695248288e-5,1.1359971942182605e-6,3.2160103311339562e-6,6.268324314976994e-6,2.13285342634355e-5,1.3899594766346127e-6,3.079583742510867e-6,9.386136397079901e-6,1.7226121916403077e-5
