2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region22Chongqing.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region23Sichuan.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region24Guizhou.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region25Yunnan.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region26Tibet.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region27Shaanxi.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region28Gansu.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region29Qinghai.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region30Ningxia.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of hydrogen_Region31Xinjiang.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of steelscrap_source_Region1Beijing.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of steelscrap_source_Region2Tianjin.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of steelscrap_source_Region3Hebei.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of steelscrap_source_Region4Shanxi.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of steelscrap_source_Region5Innermongolia.
2026-06-22 14:51:56 | INFO | 1 | MacroEnergy | supply_inputs.jl:9 | Using legacy parser for supply inputs of steelscrap_source_Region6Liaoning.
